,Day
471,"Lange, David K. (2001), Instructor of Computing and Information Systems. B.S., University of Iowa; M.B.A., University of Phoenix."
472,"Lanier, Jolanta (2014), Affiliate Professor of Biomedical Sciences. B.S., M.S., Grand Valley State University."
473,"Lantz, Andrew W. (2007), Associate Professor of Chemistry. B.A., St. Olaf College; Ph.D., Iowa State University."
474,"Laughlin, David D. (2015), Assistant Professor of Movement Science. B.A., William Jewell College; M.S., Ithaca College; Ph.D., University of Tennessee."
475,"Lawrence, Christopher (2004), Associate Professor of Chemistry. B.S. University of California-Los Angeles; Ph.D., University of Wisconsin-Madison."
476,"Lawson, Diana R. (2014), Professor of Marketing. B.S., State University of New York at Cortland; M.A., M.B.A., Ph.D., Kent State University."
477,"Lee, Hoon (2004), Associate Professor of Art and Design. B.A., M.A., Seoul National University of Technology; M.F.A., New York State College of Ceramics at Alfred University."
478,"Lehnert, Kevin (2010), Associate Professor of Marketing. B.A., Saint Louis University; M.A., Boston College; M.B.A., Loyola University; Ph.D., Saint Louis University."
479,"Leidig, Jonathan P. (2012), Assistant Professor of Computing and Information Systems. B.S., Grand Valley State University; M.S., Ph.D. Virginia Polytechnic Institute and State University."
480,"Leidig, Paul M. (1991), Professor of Computing and Information Systems. B.S., Eastern Mennonite College; M.B.A., James Madison University; Ph.D., Virginia Commonwealth University."
481,"Leiras-Laubach, Claudia (2008), Assistant Professor of Physician Assistant Studies/Allied Health Studies. B.S., College of Mount Saint Vincent; M.S., University at Buffalo; Ph.D., University of Pittsburgh."
482,"Lenters, Geoffrey (2003), Associate Professor of Physics. B.S., Calvin College; M.S., Ph.D., University of Alabama in Huntsville."
483,"Leon, Paola (Mirta) (2012), Assistant Professor of Social Work. B.S., University of Puerto Rico; M.S.W., Ph.D., University of Illinois Urbana-Champaign."
484,"Leonard, David A. (1998), Professor of Chemistry. B.S., Bucknell University; Ph.D., Cornell University."
485,"Leonard, Susan (2013), Affiliate Professor of Biomedical Sciences. B.S., Cornell University; M.S., State University of New York College at Cortland."
486,"Levenburg, Nancy (2000), Professor of Management. B.S., Miami University; M.B.A., Western Michigan University; Ph.D., The Union Institute."
487,"Lewis, Colleen A. (2007), Associate Professor of Movement Science. B.S., Denison University; M.S., Wright State University; Ph.D., Indiana University."
488,"Liang, Yan. (2009), Associate Professor of Chinese, East Asian Studies, and Chinese Studies. B.A., Nankai University, Tianjin, China; M.A., Peking University, Beijing, China; Ph.D., University of California, Santa Barbara."
489,"Libman, Karen (1999), Professor of Communications. B.F.A., Virginia Commonwealth University; M.F.A., Arizona State University."
490,"Licari, Gisella (2007), Affiliate Professor of Italian. M.A., University of Palermo, Italy."
491,"Lima, Vinicius (2014), Assistant Professor of Art and Design. B.Arch., Federal University of Rio de Janeiro; M.A., M.F.A., The University of Iowa."
492,"Linde, Sebastian (2017), Assistant Professor of Economics. B.Sc., Cardiff University, UK; M.Phil., King’s College, University of Cambridge, UK; M.Sc., Loyola University at Chicago; Ph.D. (ABD), Purdue University."
493,"Linford, Bret G. (2015), Assistant Professor of Spanish. B.S., Brigham Young University; M.A. University of Montana; M.A., Ph.D., Indiana University."
494,"Lingwood, Chad (2000), Associate Professor of History. B.A., University of Colorado at Boulder; M.A., Washington University in St. Louis; Ph.D., University of Toronto."
495,"Linn, David (2004), Associate Professor of Biomedical Sciences. Ph.D., University of Texas."
496,"Lioubimtseva, Elena (2000), Associate Professor of Geography and Sustainable Planning. B.S., M.S., Ph.D., Moscow State University."
497,"Lipford, John (2011), Affiliate Professor of Hospitality and Tourism Management. B.A., Miami University (OH); J.D., Michigan State University College of Law."
498,"Little, Joseph (2010), Associate Professor of Marketing. B.G.S., M.B.A., Indiana University Southeast; Ph.D., Saint Louis University."
499,"Locher, Alexandra (2011), Associate Professor of Biology and Natural Resources Management. B.S., M.S., Ph.D., Michigan State University."
500,"Lockerd Jr., Benjamin G. (1986), Professor of English. B.S., University of Wyoming; M.A., University of Toronto; Ph.D., University of Connecticut."
501,"Loeffler, Ronald (2004), Associate Professor of Philosophy. M.A., University of London; M.A., Free University Berlin; Ph.D., Northwestern University."
502,"Lombardo, Michael (1991), Professor of Biology. B.S., The Ohio State University; M.S., Ph.D., Rutgers University."
503,"Long, Valeria (2000), Associate Librarian. B.A., Central Michigan University; M.L.I.S., Wayne State University."
504,"Lopez-Arias, Salvador (2006), Assistant Professor of Social Work. B.S.W., M.S.W., Grand Valley State University; Ph.D., Western Michigan University."
505,"Lord, Richard (2012), Assistant Professor of Chemistry. B.S., University of Southern Indiana; Ph.D., Indiana University."
506,"Losey, Kay (2004), Professor of Writing. B.A., Michigan State University; M.A., Ph.D., University of California, Berkeley."
507,"Lou, Leon L. (2001), Associate Professor of Psychology. B.S., Futan University; M.A., Institute of Psychology, Chinese Academy of Science; Ph.D., University of California, San Diego."
508,"Lowe, Charles (2006), Associate Professor of Writing. B.A., Computer Science; M.A., Ph.D., Florida State University."
509,"Lowell, Rodd (2014), Affiliate Professor of Computing and Information Systems. B.S., Michigan State University; M.A., Grand Valley State University."
510,"Lowen, Aaron (2003), Professor of Economics. B.A., University of Northern Iowa; M.A., Ph.D., University of Iowa."
511,"Lown, Deborah (2008), Associate Professor of Biomedical Sciences. B.S., M.S., Ph.D., University of Michigan."
512,"Lubic, Barbara (1999), Associate Professor of Education. B.A., M.A., Michigan State University; Ed.D., University of Cincinnati."
513,"Lubic, Tamara (2002), Senior Affiliate Professor of Writing. B.A., Western Michigan University; M.A., University of Minnesota."
514,"Lundskow, George (1999), Professor of Sociology. B.A., Boston University; M.A., University of New Orleans; Ph.D., University of Kansas."
515,"Luttenton, Mark (1989), Professor of Biology and Water Resources. B.S., Central Michigan University; M.S., University of Wisconsin-LaCrosse; Ph.D., Bowling Green State University."
516,"Luttenton-Knoll, Meagan (2006), Clinical Faculty of Management. B.A., Grand Valley State University; M.B.A., Spring Arbor University."
517,"Ma, Kin (2003), Assistant Professor of Geography and Sustainable Planning. B.A., Williams College; M.S., Ph.D., Michigan State University."
518,"Macauley, Beth L. (2010), Associate Professor of Speech-Language Pathology. B.A., M.A., Ph.D., University of Florida."
519,"MacDonald, Neil W. (1994), Professor of Biology and Natural Resources Management. B.S., University of Michigan; M.S., Ph.D., Michigan State University."
520,"Machajewski, Szymon (2013), Affiliate Faculty of Computing and Information Systems. B.S., M.S., Grantham University."
521,"Machnik, Kelly (2014), Affiliate Faculty of Occupational Science and Therapy. B.S., M.S., Grand Valley State University."
522,"Mack, Faite R-P (1972), Professor of Education. B.S., Indiana University; M.A., Roosevelt University; Ed. Spec., Michigan State University; Ph.D., University of Illinois."
523,"Mack, Kristina (2008), Affiliate Professor of Chemistry. B.S., M.S., Western Michigan University."
524,"Mack, Nancy (2001), Professor of Mathematics. B.S., M.A., University of Texas; Ph.D., University of Wisconsin-Madison."
525,"MacQuillan, Elizabeth (2016), Assistant Professor of Clinical Dietetics. B.S., Michigan State University; M.A., Western Michigan University."
526,"Madden, Gwyn (2006), Associate Professor of Anthropology. B.A., M.A., Oregon State University; Ph.D., University of Nevada."
527,"Magal, Simha (2000), Professor of Management. Bachelor of Commerce, University of Delhi; M.B.A., Valdosta State College; Ph.D., University of Georgia."
528,"Mahave-Veglia, Pablo (2003), Professor of Music. B.M., The Eastman School of Music; M.M., Indiana University; D.M.A., University of Wisconsin-Madison."
529,"Maisel, Sebastian (2005), Associate Professor of Arabic and Middle East Studies. B.A., M.A., Ph.D., Leipzig University, Germany."
530,"Majumdar, Kingshuk (2007), Associate Professor of Physics. B.S., Presidency College; M.S., University of Calcutta; Ph.D., University of Florida."
531,"Malaret, Dennis (1995), Associate Professor of Sociology. B.S., University of Puerto Rico; M.A., Ph.D., Western Michigan University."
532,"Mangala, Jack, (2005), Professor of African African/American Studies and Political Science. B.A., University of Kinshasa; M.A., L.L.M., Ph.D., Catholic University of Louvain, Belgium."
533,"Mansour, Samah (2008), Affiliate Faculty of Computing and Information Systems. B.A., Ain Shams University; M.A., Ph.D., University of Louisville."
534,"Maodush-Pitzer, Diane (2003), Senior Affiliate Faculty, Liberal Studies; Program Coordinator, Religious Studies. B.S., Northern Illinois University; M.Div. Western Theological Seminary; M.A., University of Notre Dame."
535,"Maouene, Josita (2009), Associate Professor of Psychology. B.A., Ph.D., University of Lausanne."
536,"Margot, Kelly (2017), Assistant Professor of Education. B.S., M.S., Texas A&M University; Ph.D., University of North Texas."
537,"Margulus, Lisabeth S. (1999), Associate Professor of Education. B.S., University of Missouri; M.A., Ed.D., Western Michigan University."
538,"Marlais, Helen (1998), Associate Professor of Music. B.M., University of Toledo; M.F.A., Carnegie Mellon University; D.M., Northwestern University."
539,"Martin, Barry (1994), Professor of Music. B.M.E., University of Akron; M.S.M.E., University of Illinois."
540,"Martin, Elizabeth (Beth) (2013), Assistant Librarian. B.A., Western Michigan University; M.L.I.S., Wayne State University."
541,"Martin, John T. (2009), Associate Professor of Music. B.M., M.M., University of Tennessee; D.M.A., University of Southern Mississippi."
542,"Masko, Amy (2003), Associate Professor of English. B.S., Eastern Michigan University; M.Ed., Lesley University; Ph.D., University of Denver."
543,"Mason, Julia (2007), Associate Professor of Women, Gender, and Sexuality Studies. B.A., William Smith College; M.A., The University of Arizona; Ph.D., Bowling Green State University."
544,"Matchett, Stephen (1991), Professor of Chemistry. B.S., University of Miami, Florida; Ph.D., Colorado State University."
545,"Mather, Sarah (2010), Affiliate Faculty of Spanish. B.S., Florida State University; M.A., University of South Florida."
546,"Matthews, Amy (1998), Professor of Psychology. B.A., University of California at Santa Barbara; M.A., Ph.D., Binghamton University."
547,"Matthews, Patricia (2001), Assistant Professor of Biology. B.S., M.E., Grand Valley State University."
548,"Mattox, Stephen R. (1998), Professor of Geology. B.S., Indiana University; M.S., Ph.D., Northern Illinois University."
549,"Mayers, Leifa (2016), Assistant Professor of Women, Gender, and Sexuality Studies. B.S., University of California, Davis; M.S., University of California, Santa Cruz; Ph.D., University of California, Santa Cruz."
550,"Mays, Jane (2000), Instructor of Mathematics. B.S., M.S., Michigan State University."
551,"Maytan, Gregory S. (2010), Associate Professor of Music. B.M., The Royal University of Music, Stockholm; M.M., D.M.A., Indiana University."
552,"McBane, George (2001), Professor of Chemistry. B.S., North Carolina State University; Ph.D., Cornell University."
553,"McCann, Dana (2016), Clinical Faculty of Management. B.B.A., Saginaw Valley State University; M.B.A., Central Michigan University, D.B.A., Argosy University; Ph.D. (ABD), Central Michigan University."
554,"McCargar, Joseph (2002), Affiliate Professor of Communications. B.S., Central Michigan University."
555,"McClure, Hazel (2009), Assistant Librarian. B.S., Central Michigan University; M.F.A., St. Mary’s College of California; M.L.S., State University of New York-Buffalo."
556,"McCurren, Cynthia A. (2007), Professor of Nursing. B.S.N., M.S.N., University of Missouri; Ph.D., University of Kentucky."
557,"McFarland, Amy (2014), Assistant Professor of Honors and Environmental Studies. B.A., Rice University; M.Ed., Texas State University; Ph.D., Texas A&M University."
558,"McKee, Kimberly (2014), Assistant Professor of Liberal Studies. B.A., George Washington University; M.Sc., London School of Economics; Ph.D., The Ohio State University."
559,"McKendall, Marie A. (1988), Professor of Management. B.B.A., M.B.A., Grand Valley State University; Ph.D., Michigan State University. "
560,"McLeod, Corinna (2003), Associate Professor of English. B.A., University of Tulsa; M.A., Ph.D., University of South Carolina, Columbia."
561,"McNair, James (2009), Associate Professor of Water Resources. B.A., Davidson College; Ph.D., University of Pennsylvania."
562,"Mehall, Christopher (2014), Affiliate Professor of Education. B.S., Eastern Illinois University; M.Ed., Northern Arizona University."
563,"Mekik, Figen (2000), Professor and Chair of Geology. B.S., M.S., Middle East Technical University; Ph.D., Northern Illinois University."
564,"Merkle, Bart (2016), Distinguished Professor of Education. B.A., Hope College; M.A., Ed.D., Western Michigan University."
565,"Metz, Allison (2010), Associate Professor of Communications. B.A., University of Wisconsin at Madison; M.F.A., University of Texas at Austin; Ph.D., University of Wisconsin at Madison."
566,"Meyer-Looze, Catherine (2013), Assistant Professor of Education. B.A., Saginaw Valley State University; M.A., Central Michigan University; Ed.D., Eastern Michigan University."
567,"Miller, Blair E. (1990), Professor of Chemistry. B.A., Manchester College; Ph.D., Miami University."
568,"Miller, Jo (1991), Associate Professor of English. B.A., University of Oregon; M.A., Colorado State University; Ph.D., University of Utah."
569,"Miller, Sandra L. (1995), Associate Professor of Education. B.S., Western Michigan University; M.Ed., Ph.D., University of Pittsburgh."
570,"Miller-Adams, Michelle (2006), Professor of Political Science. B.A., University of California; M.A., Ph.D., Columbia University."
571,"Mishra, Jitendra M. (1972), Professor of Management. B.A., Delhi University; M.S., Northern Michigan University; M.B.A., Western Michigan University; F.Ph.S., Philosophical Society of England, London; Ph.D., Lucknow University."
572,"Mlynarczyk, Susan (2005), Assistant Professor of Nursing. B.S.N., Wayne State University; M.S.N., University of Wisconsin; Ph.D., Michigan State University."
573,"Moes, Mark M. (1991), Associate Professor of Philosophy. B.A., University of Notre Dame; M.A., Aquinas Institute School of Theology; Ph.D., University of Notre Dame."
574,"Mohammadzadeh, Alireza (1985), Associate Professor of Engineering. B.S., Aryamehr University; M.S., Ph.D., University of Michigan."
575,"Moiles, Roger (2010), Senior Affiliate Professor of Political Science. B.A., Saginaw Valley State University; M.A., Michigan State University."
576,"Mokhtar, Wael (2009), Associate Professor of Engineering. B.S., M.S., Alexandria University; Ph.D., Old Dominion University."
577,"Molla, Azizur (2008), Associate Professor of Public Health. B.S.S., University of Dhaka, Bangladesh; M.P.H., University of North Carolina-Chapel Hill; M.A., Ph.D., Pennsylvania State University."
578,"Montagna, Douglas (2003), Associate Professor of History. B.A., Hamilton College; M.A., Northern Illinois University; M.B.A., SUNY Binghamton, Ph.D., Northern Illinois University."
579,"Moore, Jennifer (2012), Assistant Professor of Biology and Natural Resources Management. B.S., Northern Michigan University; M.S., Central Michigan University; Ph.D., University of Wellington, New Zealand."
580,"Moore, Louis (2008), Associate Professor of History and African/African American Studies. B.A., California State University, Sacramento; M.A., California State University, Sacramento; Ph.D., University of California, Davis."
581,"Moret, Zulema (2004), Professor of Spanish. M.A., University of Buenos Aires; Ph.D., University of Basque Country (Spain)."
582,"Morgan, Roderick M. (1997), Professor of Biology. B.S., M.S., Central Michigan University; Ph.D., Virginia Commonwealth University."
583,"Morison, Melissa (2001), Associate Professor of Classics. B.A., University of Virginia; M.A., Indiana University; Ph.D., Boston University."
584,"Morison, William (2004), Associate Professor of History. Ph.D., University of California Santa Barbara."
585,"Morris, Jill (2008), Affiliate Professor of Chemistry. B.S., Central Michigan University; M.S., Michigan State University."
586,"Morrow, Deborah (1991), Senior Librarian. B.A., Earlham College; M.S.L.I.S., University of Illinois."
587,"Mothersell, William M. (2002), Professor of Management. B.S., Master of Labor in Industrial Relations, Ph.D., Michigan State University."
588,"Motwani, Jaideep G. (1990), Professor of Management. B.B.A., Bombay University; M.B.A., Sam Houston State University; Ph.D., University of North Texas."
589,"Mudde, Paul A. (2002), Associate Professor of Management. B.S., Calvin College; M.S., Ph.D., Purdue University."
590,"Mueller, Aiman (2016), Affiliate Professor of Writing. B.A., M.Ed., Grand Valley State University"
591,"Mukherjee, Oindrila (2011), Assistant Professor. B.A. Jadavpur University, India; B.A., M.A., University of Cambridge, UK; M.F.A., University of Florida; Ph.D., University of Houston."
592,"Mulally, Dauvan (2002), Senior Affiliate Professor of Writing. B.A., M.Ed., Grand Valley State University; Ph.D., Indiana University of Pennsylvania."
593,"Mulder, Cray (2005), Associate Professor of Social Work. B.A., Calvin College; M.S.W., Grand Valley State University; Ph.D., University of Illinois at Urbana-Champaign."
594,"Mullendore, Kristine (1995), Professor of Criminal Justice/Legal Studies. B.S., Michigan State University; J.D., Boston University."
595,"Muller, Leslie (2013), Assistant Professor of Economics. B.A., Calvin College; Ph.D., Michigan State University."
596,"Munk, Dana (2004), Associate Professor of Movement Science. B.S., Grand Valley State University; M.A., Central Michigan University; Ph.D., Michigan State University."
597,"Mupepi, Sylvia (2005), Associate Professor of Nursing. B.Ed.Ad.Ed., M.Ed.Ad.Ed., University of Zimbabwe; Ph.D., University of Michigan."
598,"Murphy, Paul (1999), Professor of History. B.A., Hanover College; M.A., Ph.D., Indiana University."
599,"Nagelkerk, Jean (1993), Professor of Nursing. B.S.N., Nazareth College; M.S.N., Wayne State University; Ph.D., University of Florida."
600,"Nandigam, Jagadeesh (2003), Professor of Computing and Information Systems. B.S., Sri. Venkateswara; B.S., Grambling State University; M.S., Ph.D., University of Louisiana at Lafayette."
601,"Nash, Robert (2009), Associate Professor of Hospitality and Tourism. B.S., New Hampshire College; M.S., University of Birmingham; Ph.D., Robert Gordon University."
602,"Navarro, Janet (2010), Affiliate Professor of English. B.A., Ohio Wesleyan University; M.A., Ph.D., Michigan State University."
603,"Neitzert, Kevin (2009), Affiliate Faculty in German. B.A., M.A., Michigan State University."
604,"Nesterenko, Alexander (1984), Professor of Communications. B.A., M.A., Ph.D., University of Iowa."
605,"Ngassa, Felix (2004), Associate Professor of Chemistry. B.S., University of Yaounde I; Ph.D., University of North Dakota."
606,"Ni, Peimin (1992), Professor of Philosophy. B.A., M.A., Fudan University; Ph.D., University of Connecticut."
607,"Nieuwkoop, Anthony (1995), Professor of Biomedical Sciences. A.B., Hope College; Ph.D., University of Michigan."
608,"Nikitin, Alexey (2001), Professor of Biology. M.S., Kiev State University; Ph.D., Bowling Green State University."
609,"Nikkel, Harvey (1974), Professor of Chemistry. B.S., Southwestern State College; Ph.D., Purdue University."
610,"Niu-Cooper, Rui (2017), Associate Professor of Education. B.A., Sichuan University; M.A., Acadia University; Ph.D., Michigan State University."
611,"Nizielski, Steven E. (2001), Associate Professor of Biomedical Sciences. B.S., M.S., Ph.D., University of Minnesota."
612,"Nochera, Carmen L. (1989), Professor of Biomedical Sciences. B.A., College of Notre Dame; R.D., M.A., Ph.D., University of Rhode Island."
613,"Nordman, Erik (2006), Associate Professor of Biology and Natural Resources Management. B.S., M.S., Ph.D., State University of New York."
614,"Norkus, Amy (2013), Affiliate Professor of Writing. B.A., M.F.A., Western Michigan University."
615,"Norris, Charles E. (1998), Professor of Music. B.S., Indiana State University; M.S., Ed.D., University of Illinois."
616,"Northup, Melvin L. (1972), Professor of Biology and Natural Resources Management. B.S., Parsons College; M.S., Purdue University; Ph.D., University of Missouri, Columbia."
617,"Novotny, Karen S. (1989), Professor of Mathematics. B.S., Ph.D., Western Michigan University."
618,"Nowak, Brent M. (2013), Associate Professor of Engineering. B.S., University of Illinois, Urbana; M.S., Illinois Institute of Technology; Ph.D., University of Texas, Austin."
619,"Nyamai, Priscilla A. (2015), Assistant Professor of Biology and Natural Resources Management. B.S., Egerton University; M.S., University of Idaho; Ph.D., The Ohio State University."
620,"Ogura, Laudo (2005), Associate Professor of Economics. B.A., University of Sao Paulo, Brazil; M.A., University of Brasilia, Brazil; Ph.D., University of Illinois at Urbana-Champaign."
621,"O’Kelly, Leonard A. (2015), Assistant Professor of Communications. B.E.S., Lewis University; M.S., Grand Valley State University; Ph.D., Michigan State University."
622,"Oliver, Keith (2004), Associate Professor of Physics. B.S., Utah State University; Ph.D., The Ohio State University."
623,"Olsson Jr., Roy H. (2008), Professor of Therapeutic Recreation. B.S., M.S., Kansas State College of Pittsburgh; Ph.D., University of Oregon."
624,"O’Neill, Sean (1991), Professor of History. B.A., University of California, Berkeley; M.S., Ph.D., University of California, Santa Barbara."
625,"Ostrow, Bruce (2002), Professor of Biology. B.A., Boston University, Ph.D.; Northwestern University."
626,"Otieno, Sango (2003), Associate Professor of Statistics. B.S., M.S., Egerton University; Ph.D., Virginia Polytechnic Institute and State University."
627,"Owen-DeSchryver, Jamie (2004), Associate Professor of Psychology. B.A., Kalamazoo College; M.S., The Johns Hopkins University; M.A., Ph.D., State University of New York at Stony Brook."
628,"Ozga, Karen L. (1990), Assistant Professor of Physical Therapy. B.S., Wayne State University; M.M.Sc., Emory University."
629, 
630, 
